Model,Val_accuracy,Val_precision_macro,Val_precision_weighted,Val_recall_macro,Val_recall_weighted,Val_f1_macro,Val_f1_weighted,Test_accuracy,Test_precision_macro,Test_precision_weighted,Test_recall_macro,Test_recall_weighted,Test_f1_macro,Test_f1_weighted
Basic CNN,0.9098214285714286,0.913079954034745,0.913079954034745,0.9098214285714286,0.9098214285714286,0.90799615522771,0.90799615522771,0.829375,0.8514580008547085,0.8514580008547086,0.829375,0.829375,0.8275431957449049,0.827543195744905
CNN Class Tuned,0.49375,0.7737964137344402,0.7737964137344401,0.49375,0.49375,0.3727192601007006,0.3727192601007006,0.5075,0.7289152516935336,0.7289152516935336,0.5075000000000001,0.5075,0.3668590615866628,0.3668590615866628
CNN Fine,0.6651785714285714,0.8000056198718668,0.8000056198718668,0.6651785714285714,0.6651785714285714,0.6031358896387721,0.6031358896387721,0.62125,0.7590564456543837,0.7590564456543838,0.6212500000000001,0.62125,0.5483239301549258,0.5483239301549258
CNN V3,0.6133928571428572,0.6584405136561781,0.6584405136561782,0.6133928571428571,0.6133928571428572,0.5953091854755218,0.5953091854755219,0.558125,0.6172560466369938,0.6172560466369938,0.558125,0.558125,0.524276528053427,0.5242765280534268
MobileNet FT,0.8696428571428572,0.8832621103831646,0.8832621103831647,0.8696428571428572,0.8696428571428572,0.8623213272937903,0.8623213272937902,0.81,0.8162076135139131,0.8162076135139131,0.81,0.81,0.8001476660829114,0.8001476660829114
DenseNet121,0.8875,0.8899126003661998,0.8899126003661999,0.8875000000000001,0.8875,0.8842816958510185,0.8842816958510186,0.809375,0.8175322845515991,0.817532284551599,0.8093750000000001,0.809375,0.7988503202355784,0.7988503202355786
EfficientNetB3 Enhance,0.5955357142857143,0.6076054260824217,0.6076054260824216,0.5955357142857143,0.5955357142857143,0.5681047622449886,0.5681047622449885,0.569375,0.557958588202669,0.557958588202669,0.569375,0.569375,0.513116580189035,0.513116580189035
PyTorch Hard Mined XGB,0.9964285714285714,0.9964525951927172,0.9964285063831264,0.9964405598834633,0.9964285714285714,0.9964450649859712,0.9964269887089214,0.941875,0.9464288471422264,0.9464288471422264,0.941875,0.941875,0.94013921159448,0.94013921159448
CNN + SVM,0.9526785714285714,0.9524757205554951,0.9524757205554952,0.9526785714285715,0.9526785714285714,0.9523879569622588,0.9523879569622588,0.89625,0.8999567225751022,0.8999567225751022,0.89625,0.89625,0.8941613942175649,0.894161394217565
CNN + RF,0.9446428571428571,0.9445175560431421,0.9445175560431421,0.9446428571428571,0.9446428571428571,0.9445091998307767,0.9445091998307767,0.895,0.8995166020038359,0.8995166020038359,0.895,0.895,0.8922468991325951,0.8922468991325951
CNN + XGB,0.94375,0.9433836196137902,0.9433836196137901,0.94375,0.94375,0.9434759870903289,0.9434759870903289,0.89875,0.9029858742746543,0.902985874274654,0.8987499999999999,0.89875,0.896908368457541,0.896908368457541
CNN + Ensemble,0.9508928571428571,0.9506952685868517,0.9506952685868516,0.9508928571428572,0.9508928571428571,0.9503339091533609,0.9503339091533608,0.8975,0.9028761911637866,0.9028761911637866,0.8975000000000001,0.8975,0.8958191112995213,0.8958191112995213
DenseNet + SVM,0.9196428571428571,0.9195624599110147,0.9195624599110147,0.9196428571428572,0.9196428571428571,0.9193430507297349,0.919343050729735,0.87375,0.8812777147615662,0.8812777147615662,0.87375,0.87375,0.8716172263741162,0.8716172263741161
